City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
179,Petropavlovsk-Kamchatskiy,RU,2022-10-03 02:38:33,53.0452,158.6483,48.78,57,75,6.71
180,Jumla,NP,2022-10-03 02:38:33,29.2747,82.1838,64.92,60,0,1.41
181,Belyy Yar,RU,2022-10-03 02:39:34,53.6039,91.3903,31.89,75,0,0.0
182,Rocha,UY,2022-10-03 02:39:34,-34.4833,-54.3333,48.0,85,4,7.38
183,Dasoguz,TM,2022-10-03 02:39:34,41.8363,59.9666,37.35,52,0,9.22
184,La Roche-Sur-Yon,FR,2022-10-03 02:39:35,46.6667,-1.4333,59.27,94,100,5.75
185,Chuy,UY,2022-10-03 02:39:35,-33.6971,-53.4616,51.4,92,7,7.87
186,Pisco,PE,2022-10-03 02:39:36,-13.7,-76.2167,60.03,88,40,10.36
187,Labuhan,ID,2022-10-03 02:39:36,-6.8844,112.2051,86.81,63,98,3.36
188,Akcakoca,TR,2022-10-03 02:39:37,41.0866,31.1162,60.67,83,10,4.76
189,Altay,CN,2022-10-03 02:39:37,47.8667,88.1167,41.95,20,0,3.53
190,Mbaiki,CF,2022-10-03 02:39:37,3.8678,17.9892,68.76,100,100,1.61
191,Asau,RO,2022-10-03 02:39:38,46.4333,26.4,49.28,83,73,6.58
192,Monterey,US,2022-10-03 02:39:38,36.2505,-121.2516,68.18,1,0,8.46
193,Vanimo,PG,2022-10-03 02:39:39,-2.6741,141.3028,86.09,66,62,9.73
194,Haines Junction,CA,2022-10-03 02:39:39,60.7522,-137.5108,51.75,46,91,8.05
195,Husavik,IS,2022-10-03 02:39:40,66.0449,-17.3389,44.87,77,67,11.77
196,Dunedin,NZ,2022-10-03 02:36:31,-45.8742,170.5036,49.73,59,71,18.9
197,Conceicao Da Barra,BR,2022-10-03 02:39:40,-18.5933,-39.7322,73.51,91,30,7.83
198,Tagusao,PH,2022-10-03 02:39:40,9.1924,117.8141,86.13,67,100,5.61
199,Vizianagaram,IN,2022-10-03 02:39:41,18.1167,83.4167,80.11,73,100,4.92
200,Mitsamiouli,KM,2022-10-03 02:39:41,-11.3847,43.2844,73.22,76,3,5.73
201,Beyneu,KZ,2022-10-03 02:39:42,45.3167,55.2,50.72,43,3,15.17
202,Bar Harbor,US,2022-10-03 02:39:42,44.3876,-68.2039,48.97,74,0,4.61
203,Jacareacanga,BR,2022-10-03 02:39:42,-6.2222,-57.7528,72.09,97,75,1.66
204,Kavaratti,IN,2022-10-03 02:39:43,10.5669,72.642,80.73,77,100,14.2
205,Awbari,LY,2022-10-03 02:39:43,26.5921,12.7805,75.63,56,0,9.75
206,Gigmoto,PH,2022-10-03 02:39:44,13.7796,124.39,86.02,70,95,8.03
207,Bongandanga,CD,2022-10-03 02:39:44,1.5,21.05,67.23,99,100,2.08
208,Kasane,BW,2022-10-03 02:39:46,-17.8167,25.15,65.3,31,0,5.03
209,Malpura,IN,2022-10-03 02:39:46,26.2833,75.3833,81.25,53,0,11.43
210,Saint-Denis,FR,2022-10-03 02:39:47,48.9167,2.3333,52.09,97,100,4.61
211,Keningau,MY,2022-10-03 02:39:47,5.3378,116.1602,88.41,59,82,1.54
212,Fasa,IR,2022-10-03 02:39:26,28.9383,53.6482,58.24,36,0,4.61
213,Salalah,OM,2022-10-03 02:39:48,17.0151,54.0924,78.89,89,75,4.61
214,Faanui,PF,2022-10-03 02:39:48,-16.4833,-151.75,78.96,72,2,13.91
215,Kaili,ID,2022-10-03 02:39:48,-3.4626,120.2147,79.11,69,89,4.14
216,Mahanoro,MG,2022-10-03 02:39:49,-19.9,48.8,62.78,87,2,3.94
217,Yura,PE,2022-10-03 02:39:49,-16.2522,-71.6797,57.72,20,0,6.91
218,Port Hardy,CA,2022-10-03 02:39:49,50.6996,-127.4199,51.98,100,20,4.61
219,Stokmarknes,NO,2022-10-03 02:39:50,68.5646,14.9108,46.38,93,100,4.61
220,Moerai,PF,2022-10-03 02:39:50,-22.4333,-151.3333,71.76,71,23,24.94
221,Randolph,US,2022-10-03 02:39:50,35.7001,-79.8164,57.45,92,100,1.99
222,Havoysund,NO,2022-10-03 02:39:51,70.9963,24.6622,41.23,73,99,5.84
223,San Cristobal,VE,2022-10-03 02:39:51,7.7669,-72.225,71.78,95,42,2.15
224,Ust-Maya,RU,2022-10-03 02:39:52,60.4167,134.5333,32.09,51,100,8.23
225,Kutum,SD,2022-10-03 02:35:53,14.2,24.6667,76.73,46,78,6.82
226,Souillac,MU,2022-10-03 02:39:36,-20.5167,57.5167,70.18,73,40,10.36
227,Cartagena,CO,2022-10-03 02:36:12,10.3997,-75.5144,82.02,83,20,5.75
228,Longyearbyen,SJ,2022-10-03 02:39:53,78.2186,15.6401,37.24,93,75,2.3
229,Tuatapere,NZ,2022-10-03 02:40:53,-46.1333,167.6833,49.8,56,83,13.02
230,Nelson Bay,AU,2022-10-03 02:40:54,-32.7167,152.15,66.25,64,45,4.0
231,Lasa,IT,2022-10-03 02:40:54,46.6166,10.7002,56.28,96,84,8.37
232,Vila Velha,BR,2022-10-03 02:37:50,-20.3297,-40.2925,75.15,89,75,4.61
233,Paita,PE,2022-10-03 02:40:55,-5.0892,-81.1144,64.17,84,60,11.97
234,Sindor,RU,2022-10-03 02:40:55,62.8629,51.8905,49.19,98,100,6.62
235,Sistranda,NO,2022-10-03 02:40:55,63.7256,8.834,48.16,77,58,21.74
